NAME,P/S,EIN,PASSIVE LOSS,PASSIVE INCOME,NON-PASSIVE LOSS,SECTION 179 DEDUCTION,NON-PASSIVE INCOME
LANTERN HILL BREWING COMPANY LLC,S,34-6180295,3378,0,0,17321,5875
DEEPWATER DRILLING PARTNERS LP,P,70-2915748,4680,0,7390,0,1812
ASHGROVE PHARMACY HOLDINGS INC,P,18-5730264,161,600,794,0,0
LANTERN HILL BREWING COMPANY LLC,P,92-4608371,0,10087,24582,0,7985
FROSTPEAK SKI RESORTS LLC,S,26-8194035,963,0,1843,0,4129
DEEPWATER DRILLING PARTNERS LP,P,57-3948261,1743,328,0,0,5478
MEADOWGATE POULTRY FARMS LP,P,81-7205493,5415,2288,5755,0,0
ASHGROVE PHARMACY HOLDINGS INC,S,45-9132687,1821,0,246,44683,0
STONEBROOK PRINTING SERVICES INC,P,13-6482057,0,0,741,5795,6325
FROSTPEAK SKI RESORTS LLC,P,69-2571804,773,0,13491,8781,0
MEADOWGATE POULTRY FARMS LP,S,28-4096315,6973,0,0,2867,1309
LANTERN HILL BREWING COMPANY LLC,P,96-1837542,3961,0,49821,0,4329
STONEBROOK PRINTING SERVICES INC,P,52-7360498,0,38691,354,42735,0
HAZELWOOD SENIOR LIVING PARTNERS,P,37-8524619,790,312,8449,0,0
