NAME,P/S,EIN,PASSIVE LOSS,PASSIVE INCOME,NON-PASSIVE LOSS,SECTION 179 DEDUCTION,NON-PASSIVE INCOME
HARBORVIEW INVESTMENT GROUP S CORP,P,45-5108603,0,9244,519,1485,0
WILLOWBROOK AGRICULTURAL HOLDINGS LP,P,13-2571945,1891,0,2169,1332,0
WILLOWBROOK AGRICULTURAL HOLDINGS LP,P,67-5667265,153,49829,0,1529,0
GOLDEN PRAIRIE FARMS PARTNERSHIP,P,53-2714803,859,24998,0,835,0
MAPLE STREET VENTURES LLC,S,78-3094235,3200,5264,0,700,0
NORTHGATE COMMERCIAL PROPERTIES LLC,P,15-4823498,2470,5329,0,0,6719
MEADOWLARK RESTAURANT GROUP S CORPORATION,S,30-7210606,0,0,2845,646,46094
LAKESIDE MANUFACTURING S CORPORATION,P,69-7366205,0,42043,0,1240,14492
LAKESIDE MANUFACTURING S CORPORATION,P,50-7730428,2293,0,0,1970,37270
QUARRYSTONE REAL ESTATE PARTNERS,S,92-8698256,1270,17459,0,605,0
WILLOWBROOK AGRICULTURAL HOLDINGS LP,S,56-4679591,0,33492,2121,286,0
GOLDEN PRAIRIE FARMS PARTNERSHIP,P,97-8082668,4985,4263,0,0,39152
BLUE RIDGE HOLDINGS LP,P,97-5476583,0,7410,1302,0,10465
REDWOOD FAMILY INVESTMENTS LP,P,74-2785277,2544,0,0,1347,13135
STERLING OAK CAPITAL PARTNERS LP,P,86-6438436,0,0,558,843,20253
LAKESIDE MANUFACTURING S CORPORATION,P,20-9153566,666,0,2281,0,8341
